city,cloudiness,humidity,latitude,longitude,max_temp,wind_speed
Beringovskiy,0,100,63.05,179.32,-6.27,2.84
Pisco,0,88,-13.71,-76.2,69.8,17.22
Punto Fijo,0,71,11.69,-70.21,78.34,20.18
Shimanovsk,0,49,52.0,127.67,-3.03,7.87
Jurm,12,58,36.86,70.83,-2.4,1.72
Bathsheba,40,78,13.22,-59.52,77.0,16.11
High Prairie,92,71,55.43,-116.48,5.08,5.75
Sallanches,90,70,45.94,6.63,44.6,11.41
Ozinki,68,94,51.2,49.73,26.23,13.24
Barra do Garcas,12,94,-15.89,-52.26,70.6,0.94
Anito,12,94,12.45,125.29,80.77,16.93
Gondanglegi,36,77,-7.75,112.01,82.93,3.96
Chapais,40,74,49.78,-74.86,-23.81,10.29
Dalby,0,33,-27.18,151.26,89.6,12.75
Puerto Triunfo,44,85,5.87,-74.64,76.54,1.61
Mutoko,44,95,-17.4,32.23,62.05,2.62
Coquimbo,0,87,-29.95,-71.34,60.8,6.93
Kabalo,76,94,-6.05,26.92,70.78,2.73
Neiafu,75,74,-18.65,-173.98,86.0,5.82
Teguise,56,82,29.06,-13.56,57.2,6.93
Constitucion,75,58,23.99,-104.67,59.0,2.24
Salinas,1,60,36.67,-121.66,64.94,16.11
Shagonar,76,76,51.54,92.92,-13.83,2.62
Opuwo,56,66,-18.06,13.84,58.72,2.95
Oranjemund,92,96,-28.55,16.43,64.48,1.72
Kieta,12,100,-6.22,155.63,79.15,4.18
Shelburne,75,66,44.08,-80.2,14.0,2.24
Chemodanovka,68,86,54.09,40.18,15.07,9.78
Miles City,1,95,46.41,-105.84,19.04,6.93
San Cristobal,75,100,-0.39,-78.55,57.2,4.7
Fayetteville,90,100,36.06,-94.16,44.96,10.11
Quatre Cocos,75,94,-20.21,57.76,77.0,1.12
Dovers,0,98,12.88,-61.18,79.87,18.39
Nijar,32,87,36.97,-2.21,48.2,4.7
Waingapu,92,100,-9.65,120.26,74.11,3.51
Cumpas,36,80,30.0,-109.78,51.25,1.72
Sargatskoye,44,79,55.6,73.49,6.97,8.77
Whitehorse,90,92,60.72,-135.06,21.2,6.93
Kirkland Lake,1,83,48.15,-80.03,-13.01,3.36
Lakshmipur,0,87,22.94,90.83,67.18,5.97
Sol-Iletsk,92,93,51.16,55.0,24.61,12.57
Tahe,0,44,52.34,124.71,-7.53,7.09
Sorong,88,100,-0.86,131.25,74.83,3.51
Kerman,40,29,30.29,57.06,51.8,4.7
Strezhevoy,90,92,60.73,77.6,15.8,8.95
Vestmannaeyjar,76,100,63.44,-20.27,31.18,8.99
Liverpool,20,80,53.41,-2.98,41.0,11.41
Half Moon Bay,90,80,37.46,-122.43,62.06,14.99
Buala,92,100,-8.15,159.59,82.93,5.53
Haian,0,65,32.53,120.46,41.8,5.97
Deputatskiy,0,0,69.3,139.9,-55.59,2.28
Lubao,40,54,14.94,120.6,84.2,4.7
Altay,56,79,47.83,88.13,2.2,1.61
Maceio,75,94,-9.67,-35.74,75.2,3.36
Moose Factory,1,74,51.26,-80.61,-22.01,5.82
Saldanha,76,89,41.42,-6.55,27.85,2.62
Gat,0,93,14.69,-16.54,66.2,12.75
Watsa,36,93,3.04,29.53,66.55,4.52
Kununurra,0,55,-15.77,128.74,87.8,8.05
Novoderevyankovskaya,0,77,46.33,38.75,20.65,3.62
Lethem,20,65,3.38,-59.8,80.77,12.46
Bulgan,0,58,48.81,103.53,-0.6,3.4
Ancud,20,76,-41.87,-73.83,51.8,6.93
El Rosario,75,68,22.99,-105.86,71.6,2.24
Mekhe,24,93,15.11,-16.62,66.2,12.75
Lokoja,20,75,7.8,6.74,69.25,2.73
Muriwai Beach,0,69,-36.82,174.45,73.4,18.34
Falakata,0,54,26.52,89.2,65.38,5.3
Padang,20,74,-0.92,100.36,84.2,3.36
Hluti,92,97,-27.22,31.62,70.87,3.4
Cuamba,48,95,-14.8,36.54,68.08,3.4
Inhambane,92,100,-23.87,35.38,73.93,16.49
Naliya,0,89,23.26,68.83,57.64,8.99
Mahon,75,80,51.89,-8.4,41.0,16.11
Tsabong,0,34,-26.02,22.4,64.48,4.18
Bowen,0,58,-20.01,148.25,86.0,13.87
Chunian,0,82,30.96,73.98,44.14,2.84
Chicama,90,88,-7.84,-79.15,69.8,11.41
Saint-Augustin,75,93,44.83,-0.61,50.0,4.7
Beloha,0,90,-25.17,45.06,74.2,2.84
Aykhal,12,51,65.95,111.51,-18.69,7.2
Necochea,68,78,-38.55,-58.74,62.23,14.58
Putina,75,66,-14.91,-69.87,48.2,4.7
Ilulissat,24,71,69.22,-51.1,6.8,8.05
Bibiani,12,87,6.45,-2.31,73.57,5.64
Punta de Bombon,20,98,-17.17,-71.79,70.42,5.97
Lazarev,80,69,52.23,141.51,1.48,12.01
Tarko-Sale,80,81,64.92,77.78,10.21,7.76
Mugur-Aksy,48,63,50.38,90.44,-5.1,2.17
Santa Rosa,80,35,-36.62,-64.29,69.25,9.66
Nishihara,20,43,35.74,139.53,50.0,13.87
Grindavik,90,86,63.84,-22.43,30.2,1.12
Ust-Karsk,56,56,52.71,118.82,-12.84,3.4
Grand-Lahou,0,93,5.24,-5.0,77.26,5.08
Van Wert,90,87,40.86,-84.58,32.0,5.64
Port Blair,24,100,11.67,92.75,82.03,14.03
Acari,68,98,-6.44,-36.64,68.53,2.73
Rio Gallegos,48,76,-51.62,-69.22,52.33,20.96
Svetlogorsk,90,84,53.14,59.15,8.6,8.95
Mitsamiouli,76,100,-11.38,43.28,80.14,8.55
Kloulklubed,75,74,7.04,134.26,84.2,16.11
Bilibino,80,51,68.06,166.44,-31.47,2.95
Sao Joao da Barra,36,96,-21.64,-41.05,80.14,22.75
Esil,48,83,51.96,66.41,9.4,12.12
Pangody,68,77,65.85,74.49,7.24,8.32
